Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00   300000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.19     0.00   300000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int>(int*, int&&)
  0.00      0.19     0.00   300000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.19     0.00   300000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int>(std::allocator<std::_List_node<int> >&, int*, int&&)
  0.00      0.19     0.00   300000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.19     0.00   300000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int>(std::_List_iterator<int>, int&&)
  0.00      0.19     0.00   300000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int&&)
  0.00      0.19     0.00   300000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.19     0.00   300000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.19     0.00   246044     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.19     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.19     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.19     0.00   200000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.19     0.00   200000     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.19     0.00   200000     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.19     0.00   200000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      0.19     0.00   200000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.19     0.00   200000     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.19     0.00   200000     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.19     0.00   200000     0.00     0.00  void std::_Construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.19     0.00   200000     0.00     0.00  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.19     0.00   111511     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.19     0.00   100002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.19     0.00   100001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.19     0.00   100001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.19     0.00   100001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.19     0.00   100001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.19     0.00   100001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.19     0.00   100000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.19     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.19     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.19     0.00   100000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.19     0.00   100000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.19     0.00   100000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.19     0.00   100000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.19     0.00   100000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.19     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.19     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.19     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.19     0.00   100000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.19     0.00    80679     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.19     0.00    73972     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.19     0.00    60660     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.19     0.00    57623     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.19     0.00    50933     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.19     0.00    50917     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.19     0.00    50917     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.19     0.00    47658     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.19     0.00    46112     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.19     0.00    46044     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.19     0.00    39405     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.19     0.00    39405     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.19     0.00    39405     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.19     0.00    39405     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.19     0.00    39405     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.19     0.00    39405     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.19     0.00    39405     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.19     0.00    39405     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.19     0.00    34567     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.19     0.00    32766     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.19     0.00    32766     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.19     0.00    23872     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.19     0.00    23837     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.19     0.00    23837     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.19     0.00    23821     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.19     0.00    23821     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.19     0.00    23821     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.19     0.00    23821     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
