Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00   223539     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.17     0.00   223539     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.17     0.00   223539     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.17     0.00   211411     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.17     0.00   211371     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.17     0.00   211371     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.17     0.00   200782     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.17     0.00   200782     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.17     0.00   200008     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.17     0.00   200008     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.17     0.00   200008     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.17     0.00   200008     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.17     0.00   200008     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.17     0.00   200008     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.17     0.00   200001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.17     0.00   200001     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.17     0.00   200001     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.17     0.00   200001     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.17     0.00   200000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.17     0.00   200000     0.00     0.00  void std::_Construct<std::deque<int, std::allocator<int> >>(std::deque<int, std::allocator<int> >*)
  0.00      0.17     0.00   200000     0.00     0.00  void std::_Destroy<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*)
  0.00      0.17     0.00   111370     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.17     0.00   100001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.17     0.00   100001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.17     0.00   100000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.17     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.17     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.17     0.00   100000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.17     0.00   100000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.17     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.17     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.17     0.00   100000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.17     0.00   100000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.17     0.00    79692     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.17     0.00    73267     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.17     0.00    60519     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
