Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     10.30     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00     10.30     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::select_on_container_copy_construction(std::allocator<unsigned long> const&)
  0.00     10.30     0.00    20000     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&)
  0.00     10.30     0.00    20000     0.00     0.00  void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::__niter_wrap<unsigned long*>(unsigned long* const&, unsigned long*)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__niter_wrap<std::_Bit_iterator>(std::_Bit_iterator const&, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::__copy_move_a1<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__copy_move_a1<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::__copy_move_a2<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00     10.30     0.00    20000     0.00     0.00  std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     10.30     0.00    20000     0.00     0.00  std::vector<bool, std::allocator<bool> > const& std::forward<std::vector<bool, std::allocator<bool> > const&>(std::remove_reference<std::vector<bool, std::allocator<bool> > const&>::type&)
  0.00     10.30     0.00    20000     0.00     0.00  void std::_Destroy<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*)
  0.00     10.30     0.00    11195     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00     10.30     0.00    10002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00     10.30     0.00    10001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00     10.30     0.00    10001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00     10.30     0.00    10001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     10.30     0.00    10001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00     10.30     0.00    10001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00     10.30     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00     10.30     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
  0.00     10.30     0.00    10000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     10.30     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00     10.30     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00     10.30     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00     10.30     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00     10.30     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00     10.30     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00     10.30     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00     10.30     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00     10.30     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00     10.30     0.00     8449     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     10.30     0.00     8050     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     10.30     0.00     7336     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00     10.30     0.00     6031     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     10.30     0.00     5646     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     10.30     0.00     5633     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     10.30     0.00     5633     0.00     0.00  std::allocator<int>::~allocator()
  0.00     10.30     0.00     4979     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
